PriceList.Code,BaseValue,PriceRule.Code,Item.RefCode,Item.Attribute.0.Value
HUF-2025-Q12603,63990,PR00011,ASM105_B,5
HUF-2025-Q12603,67990,PR00011,ASM105_B,7
HUF-2025-Q12603,51990,PR00011,AS110_J,1
HUF-2025-Q12603,71990,PR00011,AS110_J,2
HUF-2025-Q12603,71990,PR00011,AS110_J,3
HUF-2025-Q12603,71990,PR00011,AS110_J,4
HUF-2025-Q12603,71990,PR00011,AS110_J,5
HUF-2025-Q12603,73990,PR00011,AS110_J,7
HUF-2025-Q12603,51990,PR00011,AS110_B,1
HUF-2025-Q12603,71990,PR00011,AS110_B,2
HUF-2025-Q12603,71990,PR00011,AS110_B,3
HUF-2025-Q12603,71990,PR00011,AS110_B,4
HUF-2025-Q12603,71990,PR00011,AS110_B,5
HUF-2025-Q12603,73990,PR00011,AS110_B,7
HUF-2025-Q12603,51990,PR00011,AS110MAGIC_J,1
HUF-2025-Q12603,69990,PR00011,AS110MAGIC_J,2
HUF-2025-Q12603,69990,PR00011,AS110MAGIC_J,3
HUF-2025-Q12603,69990,PR00011,AS110MAGIC_J,4
HUF-2025-Q12603,69990,PR00011,AS110MAGIC_J,5
HUF-2025-Q12603,71990,PR00011,AS110MAGIC_J,7
HUF-2025-Q12603,51990,PR00011,AS110MAGIC_B,1
HUF-2025-Q12603,69990,PR00011,AS110MAGIC_B,2
HUF-2025-Q12603,69990,PR00011,AS110MAGIC_B,3
HUF-2025-Q12603,69990,PR00011,AS110MAGIC_B,4
HUF-2025-Q12603,69990,PR00011,AS110MAGIC_B,5
HUF-2025-Q12603,71990,PR00011,AS110MAGIC_B,7
HUF-2025-Q12603,51990,PR00011,AS110VT_J,1
HUF-2025-Q12603,69990,PR00011,AS110VT_J,2
HUF-2025-Q12603,69990,PR00011,AS110VT_J,3
HUF-2025-Q12603,69990,PR00011,AS110VT_J,4
HUF-2025-Q12603,69990,PR00011,AS110VT_J,5
HUF-2025-Q12603,71990,PR00011,AS110VT_J,7
HUF-2025-Q12603,51990,PR00011,AS110VT_B,1
HUF-2025-Q12603,69990,PR00011,AS110VT_B,2
HUF-2025-Q12603,69990,PR00011,AS110VT_B,3
HUF-2025-Q12603,69990,PR00011,AS110VT_B,4
HUF-2025-Q12603,69990,PR00011,AS110VT_B,5
HUF-2025-Q12603,71990,PR00011,AS110VT_B,7
